ID,Address,District,Price,Date,Area_sqm,Bedrooms
63,"Thorvald Meyers gate 165, 0102 Oslo",Grünerløkka,6963788,2024-06-16,246,5
64,"Camillo Collets vei 114, 0252 Oslo",Bjerke,5268764,2023-12-12,38,1
65,"Bjølsens gate 1, 0151 Oslo",Bjerke,9136800,2021-12-05,184,3
66,"Bjølsens gate 36, 0251 Oslo",Bjerke,5808754,2024-08-21,66,2
67,"Akershus Festning 113, 0252 Oslo",Østensjø,7626126,2024-05-01,139,2
68,"Slemdalsveien 77, 0150 Oslo",Gryland,5026338,2022-08-14,55,1
69,"Holmenveien 163, 0103 Oslo",Grünerløkka,6570946,2023-08-11,98,3
70,"St Olavs plass 111, 0101 Oslo",Gryland,6647359,2022-10-15,136,2
71,"Bygdøyveien 28, 0150 Oslo",Sagene,9681647,2021-11-12,191,6
72,"Holmenveien 28, 0251 Oslo",Nordstrand,5495568,2023-04-08,73,4
73,"Bjølsens gate 49, 0250 Oslo",Bjerke,4993058,2024-03-05,51,4
74,"Camillo Collets vei 85, 0250 Oslo",Søndre Aker,5289170,2023-07-12,94,6
75,"Frognerveien 74, 0103 Oslo",Sentrum,12449949,2022-04-02,127,3
76,"Bygdøyveien 1, 0151 Oslo",Nordstrand,7905108,2024-01-03,103,3
77,"Øvre Slottsgate 187, 0153 Oslo",Manglerud,4084580,2023-09-18,88,1
78,"Holmenveien 39, 0154 Oslo",Frogner,14498984,2023-09-09,117,3
79,"Borgundsdalsveien 128, 0151 Oslo",Bjerke,11078990,2023-09-28,58,4
80,"Bygdøynesveien 10, 0252 Oslo",Østensjø,4994065,2023-01-14,95,3
81,"Thorvald Meyers gate 129, 0103 Oslo",Manglerud,9154127,2023-03-21,68,2
82,"Bohrs gate 79, 0152 Oslo",Ullern,9043763,2023-09-26,78,1
83,"Kirkegata 180, 0252 Oslo",Sentrum,21844770,2024-04-06,65,2
84,"Holmenveien 62, 0251 Oslo",Grevling,5079236,2024-01-07,60,2
85,"Briskebyveien 39, 0153 Oslo",Bjerke,6828828,2023-11-13,43,3
86,"Bygdøynesveien 136, 0102 Oslo",Søndre Aker,8598891,2021-09-07,182,3
87,"Drammensveien 9, 0154 Oslo",Sentrum,20506899,2024-07-27,59,2
88,"Markveien 27, 0150 Oslo",Gryland,8339129,2023-04-08,240,4
89,"Bygdøyveien 105, 0152 Oslo",Nordstrand,3920089,2024-09-11,50,1
90,"Borgundsdalsveien 89, 0150 Oslo",Bjerke,3597480,2023-01-08,88,2
91,"Drammensveien 64, 0250 Oslo",Støren,8502084,2024-07-16,153,6
92,"Bygdøyveien 102, 0153 Oslo",Groruddal,8276210,2024-10-08,51,4
93,"Drammensveien 198, 0151 Oslo",Bjerke,5111241,2023-12-15,88,4
94,"Akershus Festning 101, 0105 Oslo",St Hanshaugen,5650274,2024-12-11,248,3
95,"Universitetsgata 149, 0101 Oslo",Manglerud,6304803,2024-08-05,43,2
96,"St Olavs plass 135, 0103 Oslo",Rodeløkka,5924180,2023-12-28,102,1
97,"Hoffsveien 5, 0251 Oslo",Grünerløkka,5918967,2023-11-23,115,2
98,"Grensen 177, 0102 Oslo",Søndre Aker,8160494,2023-10-10,116,3
99,"Akershusveien 131, 0251 Oslo",Nordre Aker,7540945,2024-07-06,78,3
100,"Bygdøyveien 123, 0104 Oslo",Bjerke,5017195,2020-11-07,110,4
101,"Camillo Collets vei 188, 0102 Oslo",Sentrum,19150285,2023-11-20,71,1
102,"Camillo Collets vei 68, 0103 Oslo",Bjerke,4276689,2024-11-06,222,5
103,"Karl Johans gate 125, 0104 Oslo",Ullern,5030713,2024-12-15,44,3
104,"Prinsens gate 34, 0151 Oslo",Nordstrand,7512769,2024-10-28,72,1
105,"Universitetsgata 88, 0252 Oslo",Grevling,4764123,2024-09-07,111,1
106,"Drammensveien 70, 0250 Oslo",Sentrum,18032441,2024-03-11,59,3
107,"Drammensveien 52, 0151 Oslo",Frogner,13932633,2023-02-11,113,3
108,"Holmenveien 127, 0104 Oslo",Søndre Aker,8012260,2022-07-07,112,4
109,"Odins gate 184, 0103 Oslo",Grevling,5616186,2024-10-04,152,6
110,"Universitetsgata 95, 0103 Oslo",Manglerud,3801728,2023-01-02,126,3
111,"Gabels gate 164, 0153 Oslo",St Hanshaugen,13293061,2023-07-15,118,3
112,"Kirkegata 140, 0250 Oslo",Gryland,5482795,2023-07-26,211,5
113,"Frognerveien 6, 0251 Oslo",Sagene,6644952,2023-02-04,35,2
114,"Bygdøynesveien 13, 0252 Oslo",Alna,7763300,2022-04-22,197,5
115,"Gabels gate 178, 0250 Oslo",Grevling,5536261,2022-08-17,70,3
116,"Universitetsgata 19, 0250 Oslo",Nordre Aker,6050884,2024-10-28,185,5
117,"Bygdøyveien 14, 0252 Oslo",Frogner,12460400,2024-09-27,97,5
118,"Hoffsveien 176, 0102 Oslo",Grevling,8920789,2024-09-24,44,2
119,"Odins gate 126, 0154 Oslo",Støren,6102980,2023-10-13,153,4
120,"Universitetsgata 19, 0250 Oslo",Støren,8478866,2024-05-24,44,4
121,"Slemdalsveien 138, 0251 Oslo",Bjerke,7027733,2023-10-11,163,5
122,"Drammensveien 13, 0252 Oslo",Alna,6332499,2024-11-08,120,1
123,"Markveien 175, 0150 Oslo",Gryland,4954242,2023-10-24,73,1
124,"Voksenåsveien 23, 0105 Oslo",Gryland,6893043,2024-08-24,101,2
125,"Myntgata 8, 0152 Oslo",Gryland,7260892,2024-05-28,194,2
126,"Myntgata 87, 0251 Oslo",Grevling,7754673,2023-11-17,109,1
127,"Schweigaards gate 182, 0102 Oslo",Tøyen,11464807,2024-09-17,141,5
128,"Voksenåsveien 116, 0252 Oslo",Ullern,5483746,2022-11-15,44,1
129,"Markveien 179, 0152 Oslo",Nordstrand,10369552,2024-09-01,110,2
130,"Kirkegata 172, 0250 Oslo",Ullern,3614928,2024-12-09,216,3
131,"Hoffsveien 5, 0252 Oslo",Gryland,6044109,2023-09-19,148,6
132,"Bygdøynesveien 176, 0102 Oslo",Grünerløkka,10907826,2022-04-02,113,3
133,"Kirkegata 81, 0154 Oslo",Østensjø,7602221,2024-05-16,149,2
134,"Bjølsens gate 124, 0150 Oslo",Østensjø,7903094,2023-08-27,168,3
135,"Bygdøyveien 3, 0103 Oslo",St Hanshaugen,6642391,2024-04-19,179,2
136,"Thorvald Meyers gate 77, 0102 Oslo",Søndre Aker,7886860,2024-11-27,40,4
137,"Prinsens gate 106, 0150 Oslo",Nordre Aker,5629893,2023-10-08,68,3
138,"Øvre Slottsgate 5, 0104 Oslo",Alna,4796516,2024-12-06,142,6
139,"Briskebyveien 42, 0101 Oslo",Nordre Aker,6851517,2024-12-21,132,5
140,"Gabels gate 92, 0251 Oslo",Bjerke,3967883,2022-04-11,75,1
141,"Holmenveien 141, 0250 Oslo",Nordre Aker,5678755,2021-07-24,95,1
142,"Akershus Festning 69, 0101 Oslo",Støren,7313905,2022-12-15,84,1
143,"Bjølsens gate 17, 0104 Oslo",Gryland,6296879,2020-06-01,111,3
144,"Karl Johans gate 16, 0103 Oslo",Ullern,7314645,2024-11-13,187,4
145,"Markveien 5, 0153 Oslo",Østensjø,5074472,2023-05-24,111,2
146,"St Olavs plass 184, 0101 Oslo",Grünerløkka,12990074,2021-08-22,90,4
147,"Prinsens gate 27, 0250 Oslo",Ullern,10662933,2023-06-19,192,3
148,"Akershus Festning 34, 0153 Oslo",Groruddal,3768320,2023-12-02,79,4
149,"Kirkegata 189, 0150 Oslo",Søndre Aker,6776791,2022-11-13,72,2
150,"Kirkegata 77, 0150 Oslo",Alna,5868260,2024-10-18,135,3
